FID,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,IDSP,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,NO_PLN,AREA_KM2,TOT_POP,TOT_HHOLD,POP_DEN,HHOLD_DEN,MID,PLN_GRID,X,Y,Longitude,Latitude
3431,NUSA TENGGARA TIMUR,ADONARA BARAT,WAI TUKAN,53,09,060,042,5309060042,FLORES TIMUR,BADAN PUSAT STATISTIK,5309060,POLY,0,5309060042,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,60,ADONARA BARAT,42,WAI TUKAN,365,339,150,58,52,0.386667,92,8.42879,704,150,83.523256,17.796148,0.237048,0,13706710.2758,-924574.452542,123.129473,-8.276657
3449,NUSA TENGGARA TIMUR,SOLOR TIMUR,LEWOGEKA,53,09,050,015,5309050015,FLORES TIMUR,BADAN PUSAT STATISTIK,5309050,POLY,0,5309050015,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,50,SOLOR TIMUR,15,LEWOGEKA,216,275,125,36,33,0.288,89,7.026039,491,125,69.882899,17.790962,0.237083,0,13699851.7602,-944092.130882,123.067862,-8.450123
3477,NUSA TENGGARA TIMUR,DEMON PAGONG,BLEPANAWA,53,09,032,005,5309032005,FLORES TIMUR,BADAN PUSAT STATISTIK,5309032,POLY,0,5309032005,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,32,DEMON PAGONG,5,BLEPANAWA,198,263,120,0,75,0,120,4.752996,461,120,96.991461,25.247235,0.199018,0,13676893.3099,-934270.915805,122.861623,-8.362846
3517,NUSA TENGGARA TIMUR,TANJUNG BUNGA,PATISIRAWALANG,53,09,020,019,5309020019,FLORES TIMUR,BADAN PUSAT STATISTIK,5309020,POLY,0,5309020019,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,20,TANJUNG BUNGA,19,PATISIRAWALANG,545,542,246,0,30,0,246,17.120064,1087,246,63.492754,14.369105,0.263806,0,13678486.4991,-904305.106724,122.875935,-8.09643
3531,NUSA TENGGARA TIMUR,TITEHENA,KOBASOMA,53,09,011,002,5309011002,FLORES TIMUR,BADAN PUSAT STATISTIK,5309011,POLY,0,5309011002,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,11,TITEHENA,2,KOBASOMA,369,373,189,0,0,0,189,19.391201,742,189,38.264778,9.746689,0.320311,0,13662660.6669,-936339.59242,122.733769,-8.381231
3547,NUSA TENGGARA TIMUR,WULANGGITANG,BORU KEDANG,53,09,010,010,5309010010,FLORES TIMUR,BADAN PUSAT STATISTIK,5309010,POLY,0,5309010010,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,10,WULANGGITANG,10,BORU KEDANG,467,519,215,70,43,0.325581,145,6.92144,986,215,142.455912,31.062902,0.179423,0,13655712.71,-954841.325427,122.671354,-8.545625
3552,NUSA TENGGARA TIMUR,WULANGGITANG,HOKENG JAYA,53,09,010,012,5309010012,FLORES TIMUR,BADAN PUSAT STATISTIK,5309010,POLY,0,5309010012,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,10,WULANGGITANG,12,HOKENG JAYA,794,734,264,196,6,0.742424,68,1.939441,1528,264,787.855745,136.121673,0.085711,0,13664233.5406,-953196.203828,122.747898,-8.53101
3557,NUSA TENGGARA TIMUR,ILEBURA,NOBOKONGA,53,09,012,005,5309012005,FLORES TIMUR,BADAN PUSAT STATISTIK,5309012,POLY,0,5309012005,53,NUSA TENGGARA TIMUR,9,FLORES TIMUR,12,ILEBURA,5,NOBOKONGA,635,588,128,0,47,0,128,1.565811,1223,128,781.06499,81.746785,0.110602,0,13668218.8041,-946588.19261,122.783699,-8.472302
3563,NUSA TENGGARA TIMUR,ATADEI,ILE KIMOK,53,08,020,014,5308020014,LEMBATA,BADAN PUSAT STATISTIK,5308020,POLY,0,5308020014,53,NUSA TENGGARA TIMUR,8,LEMBATA,20,ATADEI,14,ILE KIMOK,716,770,395,0,100,0,395,27.802111,1486,395,53.449179,14.207554,0.265302,0,13752793.4585,-943414.778746,123.543446,-8.444104
3569,NUSA TENGGARA TIMUR,ATADEI,LEWOGROMA,53,08,020,021,5308020021,LEMBATA,BADAN PUSAT STATISTIK,5308020,POLY,0,5308020021,53,NUSA TENGGARA TIMUR,8,LEMBATA,20,ATADEI,21,LEWOGROMA,68,76,60,0,30,0,60,1.958984,144,60,73.50749,30.628121,0.180692,0,13755185.255,-948613.62938,123.564932,-8.490297
3571,NUSA TENGGARA TIMUR,ATADEI,NUBABOLI,53,08,020,022,5308020022,LEMBATA,BADAN PUSAT STATISTIK,5308020,POLY,0,5308020022,53,NUSA TENGGARA TIMUR,8,LEMBATA,20,ATADEI,22,NUBABOLI,110,109,70,0,13,0,70,4.655747,219,70,47.038636,15.035181,0.257897,0,13746679.9002,-941321.854498,123.488527,-8.425507
3578,NUSA TENGGARA TIMUR,BUYASARI,LEUWOHUNG,53,08,070,016,5308070016,LEMBATA,BADAN PUSAT STATISTIK,5308070,POLY,0,5308070016,53,NUSA TENGGARA TIMUR,8,LEMBATA,70,BUYASARI,16,LEUWOHUNG,382,379,190,0,60,0,190,3.576014,761,190,212.806777,53.131784,0.13719,0,13779557.6986,-914412.832599,123.783873,-8.186314
3587,NUSA TENGGARA TIMUR,BUYASARI,RUMANG,53,08,070,019,5308070019,LEMBATA,BADAN PUSAT STATISTIK,5308070,POLY,0,5308070019,53,NUSA TENGGARA TIMUR,8,LEMBATA,70,BUYASARI,19,RUMANG,298,304,142,0,142,0,142,2.758245,602,142,218.254721,51.482011,0.139371,0,13786825.6267,-918437.333276,123.849162,-8.222097
3600,NUSA TENGGARA TIMUR,ILE APE,MURUONA,53,08,030,003,5308030003,LEMBATA,BADAN PUSAT STATISTIK,5308030,POLY,0,5308030003,53,NUSA TENGGARA TIMUR,8,LEMBATA,30,ILE APE,3,MURUONA,280,316,145,121,24,0.834483,24,6.120227,596,145,97.38201,23.691932,0.205447,0,13744730.8938,-932341.433584,123.471018,-8.345697
