PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,IDSP,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,JOIN_FIELD,population,PCT_PLN,NUM_HHOLDS,NUM_PLN,PLN_Cabang,EI_SubArea
MALUKU,NUSANIWE,KEL MANGGA DUA,81,71,010,010,8171010010,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010010,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,       10.000000,KEL MANGGA DUA,     1605.000000,     1753.000000,      878.000000,      789.000000,       89.000000,      0.89863325740,-214748364,     3482.000000,      0.96796338673,874,846,AMBON,Ambon&Sera
MALUKU,NUSANIWE,KEL SILALE,81,71,010,013,8171010013,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010013,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,       13.000000,KEL SILALE,     2263.000000,     2595.000000,      802.000000,      762.000000,       40.000000,      0.95012468828,-214748364,     3709.000000,      0.95296523517,978,932,AMBON,Ambon&Sera
MALUKU,NUSANIWE,LATUHALAT,81,71,010,001,8171010001,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010001,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,        1.000000,LATUHALAT,     4327.000000,     4557.000000,     2212.000000,     1820.000000,      392.000000,      0.82278481013,-214748364,     8886.000000,      0.92157953281,1798,1657,AMBON,Ambon&Sera
MALUKU,NUSANIWE,NUSANIWE,81,71,010,003,8171010003,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010003,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,        3.000000,NUSANIWE,     1465.000000,     1560.000000,      741.000000,      530.000000,      211.000000,      0.71524966262,-214748364,     3032.000000,      0.94063926941,657,618,AMBON,Ambon&Sera
MALUKU,NUSANIWE,KEL WAINITU,81,71,010,007,8171010007,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010007,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,        7.000000,KEL WAINITU,     3977.000000,     3963.000000,     1946.000000,     1751.000000,      195.000000,      0.89979445015,-214748364,     9213.000000,      0.92434210526,2128,1967,AMBON,Ambon&Sera
MALUKU,NUSANIWE,KEL WAIHAONG,81,71,010,012,8171010012,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010012,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,       12.000000,KEL WAIHAONG,     3254.000000,     3054.000000,     1612.000000,     1524.000000,       88.000000,      0.94540942928,-214748364,     5517.000000,      0.90088105727,1362,1227,AMBON,Ambon&Sera
MALUKU,NUSANIWE,KEL BENTENG,81,71,010,006,8171010006,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010006,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,        6.000000,KEL BENTENG,     6795.000000,     6933.000000,     3050.000000,     2938.000000,      112.000000,      0.96327868852,-214748364,    15170.000000,      0.92419554455,3232,2987,AMBON,Ambon&Sera
MALUKU,NUSANIWE,SEILALE,81,71,010,002,8171010002,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010002,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,        2.000000,SEILALE,      682.000000,      701.000000,      344.000000,      337.000000,        7.000000,      0.97965116279,-214748364,     1450.000000,      0.94687500000,320,303,AMBON,Ambon&Sera
MALUKU,NUSANIWE,AMAHUSU,81,71,010,004,8171010004,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010004,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,        4.000000,AMAHUSU,     2478.000000,     2341.000000,     1205.000000,     1178.000000,       27.000000,      0.97759336100,-214748364,     4804.000000,      0.93750000000,992,930,AMBON,Ambon&Sera
MALUKU,NUSANIWE,KEL NUSANIWE,81,71,010,005,8171010005,AMBON,BADAN PUSAT STATISTIK,8171010,POLY,0,8171010005,       81.000000,MALUKU,       71.000000,AMBON,       10.000000,NUSANIWE,        5.000000,KEL NUSANIWE,     3998.000000,     3649.000000,     1729.000000,     1470.000000,      259.000000,      0.85020242915,-214748364,     8994.000000,      0.86835312339,1937,1682,AMBON,Ambon&Sera
