FID,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,PLN_HHOLD,DESA_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,Longitude,Latitude,CLUST_POP,Clust_Code
6618,NUSA TENGGARA TIMUR,TANA RIGHU,WANOKAZA,53,1,72,9,5301072009,0,1252,0,209,0,119.405387,-9.542303,689,530107200901
6587,NUSA TENGGARA TIMUR,TANA RIGHU,WANOKAZA,53,1,72,9,5301072009,0,1252,0,209,0,119.40421,-9.53945,563,530107200902
6601,NUSA TENGGARA TIMUR,TANA RIGHU,BONDO TERA,53,1,72,10,5301072010,0.146875,1681,0.209459,296,62,119.447009,-9.537425,716,530107201001
6614,NUSA TENGGARA TIMUR,TANA RIGHU,BONDO TERA,53,1,72,10,5301072010,0.146875,1681,0.209459,296,62,119.446518,-9.527224,573,530107201002
6605,NUSA TENGGARA TIMUR,TANA RIGHU,BONDO TERA,53,1,72,10,5301072010,0.146875,1681,0.209459,296,62,119.437215,-9.537777,392,530107201003
6591,NUSA TENGGARA TIMUR,TANA RIGHU,ZALA KADU,53,1,72,11,5301072011,0,1635,0,281,0,119.44469,-9.511009,947,530107201101
6814,NUSA TENGGARA TIMUR,TANA RIGHU,ZALA KADU,53,1,72,11,5301072011,0,1635,0,281,0,119.446279,-9.498565,688,530107201102
6685,NUSA TENGGARA TIMUR,LEWA,KONDAMARA,53,2,10,9,5302010009,0,2011,0,391,0,119.89409,-9.651347,1643,530201000901
6680,NUSA TENGGARA TIMUR,LEWA,KONDAMARA,53,2,10,9,5302010009,0,2011,0,391,0,119.929071,-9.658938,368,530201000902
6671,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.888983,-9.708592,1990,530201001001
6686,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.880434,-9.702101,1357,530201001002
6674,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.878348,-9.69951,440,530201001003
6670,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.868114,-9.696165,260,530201001004
6678,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.884158,-9.704722,158,530201001005
6675,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.879455,-9.698596,131,530201001006
6676,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.88106,-9.698712,121,530201001007
6679,NUSA TENGGARA TIMUR,LEWA,LEWAPAKU,53,2,10,10,5302010010,0.5086,4547,0.710362,801,569,119.886651,-9.709907,90,530201001008
6672,NUSA TENGGARA TIMUR,LEWA,TANARARA,53,2,10,11,5302010011,0.161692,2037,0.175066,377,66,119.875977,-9.729032,2037,530201001101
6669,NUSA TENGGARA TIMUR,LEWA,KAMBATA WUNDUT,53,2,10,14,5302010014,0.20428,2725,0.229412,510,117,119.856501,-9.696433,1063,530201001401
6667,NUSA TENGGARA TIMUR,LEWA,KAMBATA WUNDUT,53,2,10,14,5302010014,0.20428,2725,0.229412,510,117,119.864109,-9.692223,1036,530201001402
6668,NUSA TENGGARA TIMUR,LEWA,KAMBATA WUNDUT,53,2,10,14,5302010014,0.20428,2725,0.229412,510,117,119.86178,-9.694938,627,530201001403
6681,NUSA TENGGARA TIMUR,LEWA,RAKAWATU,53,2,10,15,5302010015,0,1318,0.003817,262,1,119.894991,-9.646046,1318,530201001501
6666,NUSA TENGGARA TIMUR,LEWA,BIDI HUNGA,53,2,10,19,5302010019,0,516,0,124,0,119.864859,-9.625648,516,530201001901
7023,NUSA TENGGARA TIMUR,NGGAHA ORI ANGU,MAKAMENGGIT,53,2,11,6,5302011006,0.17378,1367,0.287313,268,77,120.02981,-9.71377,1367,530201100601
7024,NUSA TENGGARA TIMUR,NGGAHA ORI ANGU,PRAI KARANG,53,2,11,7,5302011007,0.017857,1001,0,178,0,120.027143,-9.690907,1001,530201100701
6677,NUSA TENGGARA TIMUR,NGGAHA ORI ANGU,PRAI PAHA,53,2,11,8,5302011008,0,1436,0.006601,303,2,119.991343,-9.676949,567,530201100801
6683,NUSA TENGGARA TIMUR,NGGAHA ORI ANGU,PRAI PAHA,53,2,11,8,5302011008,0,1436,0.006601,303,2,119.981582,-9.678592,543,530201100802
6684,NUSA TENGGARA TIMUR,NGGAHA ORI ANGU,PRAI PAHA,53,2,11,8,5302011008,0,1436,0.006601,303,2,119.980372,-9.677866,326,530201100803
6673,NUSA TENGGARA TIMUR,NGGAHA ORI ANGU,KAHIRI,53,2,11,9,5302011009,0,1592,0,268,0,119.959769,-9.739769,1071,530201100901
6682,NUSA TENGGARA TIMUR,NGGAHA ORI ANGU,KAHIRI,53,2,11,9,5302011009,0,1592,0,268,0,119.96207,-9.741402,521,530201100902
6628,NUSA TENGGARA TIMUR,LEWATIDAHU,WATUMBELAR,53,2,12,1,5302012001,0,695,0.005848,171,1,119.765069,-9.774726,695,530201200101
6629,NUSA TENGGARA TIMUR,LEWATIDAHU,LAI HAWU,53,2,12,4,5302012004,0.230599,1909,0.272727,352,96,119.833726,-9.757458,1640,530201200401
6627,NUSA TENGGARA TIMUR,LEWATIDAHU,LAI HAWU,53,2,12,4,5302012004,0.230599,1909,0.272727,352,96,119.836418,-9.754152,269,530201200402
6630,NUSA TENGGARA TIMUR,KATALA HAMU LINGU,LAI LARA,53,2,13,2,5302013002,0,989,0,235,0,119.938138,-9.843495,989,530201300201
7002,NUSA TENGGARA TIMUR,TABUNDUNG,BILLA,53,2,20,3,5302020003,0,1477,0.312684,339,106,120.082132,-9.944879,878,530202000301
7003,NUSA TENGGARA TIMUR,TABUNDUNG,BILLA,53,2,20,3,5302020003,0,1477,0.312684,339,106,120.084694,-9.947342,261,530202000302
7004,NUSA TENGGARA TIMUR,TABUNDUNG,BILLA,53,2,20,3,5302020003,0,1477,0.312684,339,106,120.071834,-9.948985,188,530202000303
7001,NUSA TENGGARA TIMUR,TABUNDUNG,BILLA,53,2,20,3,5302020003,0,1477,0.312684,339,106,120.074148,-9.945236,150,530202000304
6892,NUSA TENGGARA TIMUR,TABUNDUNG,PRAING KAREHA,53,2,20,4,5302020004,0.031348,1208,0,265,0,120.045957,-10.013134,733,530202000401
6893,NUSA TENGGARA TIMUR,TABUNDUNG,PRAING KAREHA,53,2,20,4,5302020004,0.031348,1208,0,265,0,120.049339,-10.007943,310,530202000402
6890,NUSA TENGGARA TIMUR,TABUNDUNG,PRAING KAREHA,53,2,20,4,5302020004,0.031348,1208,0,265,0,120.041869,-10.016881,165,530202000403
6999,NUSA TENGGARA TIMUR,TABUNDUNG,KARITA,53,2,20,11,5302020011,0.119691,1218,0,248,0,120.100962,-9.93036,1218,530202001101
7000,NUSA TENGGARA TIMUR,TABUNDUNG,KUKI TALU,53,2,20,15,5302020015,0,560,0.008403,119,1,120.114164,-9.907015,560,530202001501
6889,NUSA TENGGARA TIMUR,PINUPAHAR,WAHANG,53,2,21,1,5302021001,0,1354,0.010381,289,3,120.026807,-10.096129,1137,530202100101
6891,NUSA TENGGARA TIMUR,PINUPAHAR,WAHANG,53,2,21,1,5302021001,0,1354,0.010381,289,3,120.050533,-10.06914,106,530202100102
6887,NUSA TENGGARA TIMUR,PINUPAHAR,WAHANG,53,2,21,1,5302021001,0,1354,0.010381,289,3,120.055039,-10.066597,75,530202100103
6888,NUSA TENGGARA TIMUR,PINUPAHAR,WAHANG,53,2,21,1,5302021001,0,1354,0.010381,289,3,120.075516,-10.090944,36,530202100104
6874,NUSA TENGGARA TIMUR,PINUPAHAR,TAWUI,53,2,21,2,5302021002,0,1415,0,317,0,120.073785,-10.14376,771,530202100201
6873,NUSA TENGGARA TIMUR,PINUPAHAR,TAWUI,53,2,21,2,5302021002,0,1415,0,317,0,120.053243,-10.130638,207,530202100202
6867,NUSA TENGGARA TIMUR,PINUPAHAR,TAWUI,53,2,21,2,5302021002,0,1415,0,317,0,120.075496,-10.14847,148,530202100203
6886,NUSA TENGGARA TIMUR,PINUPAHAR,TAWUI,53,2,21,2,5302021002,0,1415,0,317,0,120.070149,-10.117325,103,530202100204
6864,NUSA TENGGARA TIMUR,PINUPAHAR,TAWUI,53,2,21,2,5302021002,0,1415,0,317,0,120.062307,-10.13727,95,530202100205
6875,NUSA TENGGARA TIMUR,PINUPAHAR,TAWUI,53,2,21,2,5302021002,0,1415,0,317,0,120.061253,-10.136431,92,530202100206
6866,NUSA TENGGARA TIMUR,PINUPAHAR,LAILUNGGI,53,2,21,3,5302021003,0,1265,0,273,0,120.116576,-10.172377,784,530202100301
6868,NUSA TENGGARA TIMUR,PINUPAHAR,LAILUNGGI,53,2,21,3,5302021003,0,1265,0,273,0,120.111399,-10.166656,144,530202100302
6870,NUSA TENGGARA TIMUR,PINUPAHAR,LAILUNGGI,53,2,21,3,5302021003,0,1265,0,273,0,120.103605,-10.172582,111,530202100303
6865,NUSA TENGGARA TIMUR,PINUPAHAR,LAILUNGGI,53,2,21,3,5302021003,0,1265,0,273,0,120.110795,-10.174618,93,530202100304
6869,NUSA TENGGARA TIMUR,PINUPAHAR,LAILUNGGI,53,2,21,3,5302021003,0,1265,0,273,0,120.103912,-10.16667,85,530202100305
6871,NUSA TENGGARA TIMUR,PINUPAHAR,LAILUNGGI,53,2,21,3,5302021003,0,1265,0,273,0,120.104432,-10.170725,48,530202100306
6894,NUSA TENGGARA TIMUR,PINUPAHAR,RAMUK,53,2,21,5,5302021005,0,810,0.041667,144,6,120.163579,-10.064785,710,530202100501
6896,NUSA TENGGARA TIMUR,PINUPAHAR,RAMUK,53,2,21,5,5302021005,0,810,0.041667,144,6,120.157889,-10.072041,100,530202100502
