PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,id_kec,POLY,VILLAGE_CO,KODE_PROV,NAMA_PROV,KODE_KAB,NAMA_KAB,KODE_KEC,NAMA_KEC,KODE_DESA,NAMA_DESA,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,JOIN_FIELD,population,PCT_PLN,NUM_HHOLDS,NUM_PLN,PLN_Cabang,EI_SubArea
MALUKU UTARA,KAYOA SELATAN,NGUTE NGUTE,82,04,062,003,8204062003,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204062,POLY,8204062003,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       62.000000,KAYOA SELATAN,        3.000000,NGUTE NGUTE,      182.000000,      197.000000,      108.000000,        0.000000,      108.000000,      0.00000000000,-214748364,380,      0.00000000000,67,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,TAWABI,82,04,060,013,8204060013,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060013,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       13.000000,TAWABI,      225.000000,      191.000000,      100.000000,        0.000000,      100.000000,      0.00000000000,-214748364,417,      0.00000000000,81,0,Ternate,Halmahera
MALUKU UTARA,KAYOA UTARA,AKE JAILOLO,82,04,063,001,8204063001,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204063,POLY,8204063001,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       63.000000,KAYOA UTARA,        1.000000,AKE JAILOLO,      155.000000,      147.000000,       68.000000,        0.000000,       31.000000,      0.00000000000,-214748364,302,      0.00000000000,51,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,GUNANGE,82,04,060,017,8204060017,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060017,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       17.000000,GUNANGE,      235.000000,      217.000000,      114.000000,        0.000000,      114.000000,      0.00000000000,-214748364,452,      0.00000000000,88,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,BAJO,82,04,060,016,8204060016,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060016,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       16.000000,BAJO,      941.000000,      902.000000,      418.000000,      397.000000,       21.000000,      0.94976076555,-214748364,1820,      0.93987341772,316,297,Ternate,Halmahera
MALUKU UTARA,KAYOA UTARA,GAYAP,82,04,063,002,8204063002,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204063,POLY,8204063002,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       63.000000,KAYOA UTARA,        2.000000,GAYAP,      233.000000,      196.000000,      108.000000,       60.000000,       15.000000,      0.55555555556,-214748364,429,      0.00000000000,71,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,KARAMAT,82,04,060,019,8204060019,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060019,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       19.000000,KARAMAT,      149.000000,      125.000000,       82.000000,       82.000000,        0.000000,      1.00000000000,-214748364,274,      0.81967213115,61,50,Ternate,Halmahera
MALUKU UTARA,KAYOA UTARA,LAROMABATI,82,04,063,003,8204063003,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204063,POLY,8204063003,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       63.000000,KAYOA UTARA,        3.000000,LAROMABATI,      349.000000,      358.000000,      187.000000,       97.000000,        0.000000,      0.51871657754,-214748364,707,      0.96460176991,113,109,Ternate,Halmahera
MALUKU UTARA,KAYOA UTARA,NGOKOMALAKO,82,04,063,005,8204063005,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204063,POLY,8204063005,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       63.000000,KAYOA UTARA,        5.000000,NGOKOMALAKO,      192.000000,      167.000000,       87.000000,       75.000000,        0.000000,      0.86206896552,-214748364,359,      0.84722222222,72,61,Ternate,Halmahera
MALUKU UTARA,KAYOA UTARA,MODAYAMA,82,04,063,004,8204063004,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204063,POLY,8204063004,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       63.000000,KAYOA UTARA,        4.000000,MODAYAMA,      318.000000,      330.000000,      151.000000,       51.000000,        0.000000,      0.33774834437,-214748364,648,      0.94545454545,110,104,Ternate,Halmahera
MALUKU UTARA,KAYOA,LAIGOMA,82,04,060,024,8204060024,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060024,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       24.000000,LAIGOMA,      128.000000,      101.000000,       52.000000,        0.000000,       52.000000,      0.00000000000,-214748364,229,      0.00000000000,38,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,SIKO,82,04,060,026,8204060026,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060026,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       26.000000,SIKO,      179.000000,      216.000000,      102.000000,        0.000000,      102.000000,      0.00000000000,-214748364,397,      0.00000000000,87,0,Ternate,Halmahera
MALUKU UTARA,KAYOA,GAFI,82,04,060,025,8204060025,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060025,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       25.000000,GAFI,      105.000000,      126.000000,       59.000000,        0.000000,       59.000000,      0.00000000000,-214748364,227,      0.00000000000,47,0,Ternate,Halmahera
MALUKU UTARA,KAYOA UTARA,WAYASIPANG,82,04,063,006,8204063006,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204063,POLY,8204063006,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       63.000000,KAYOA UTARA,        6.000000,WAYASIPANG,      111.000000,      115.000000,       62.000000,       58.000000,        4.000000,      0.93548387097,-214748364,226,      0.85454545454,55,47,Ternate,Halmahera
MALUKU UTARA,KAYOA,GURUAPIN,82,04,060,015,8204060015,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204060,POLY,8204060015,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       60.000000,KAYOA,       15.000000,GURUAPIN,     1111.000000,     1190.000000,      577.000000,      577.000000,        0.000000,      1.00000000000,-214748364,2308,      0.94669509595,469,444,Ternate,Halmahera
MALUKU UTARA,BACAN,TOMORI,82,04,030,034,8204030034,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204030,POLY,8204030034,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       30.000000,BACAN,       34.000000,TOMORI,     1105.000000,     1125.000000,      460.000000,      394.000000,       32.000000,      0.85652173913,-214748364,2294,      0.51659751037,482,249,Ternate,Halmahera
MALUKU UTARA,BACAN,MARABOSE,82,04,030,043,8204030043,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204030,POLY,8204030043,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       30.000000,BACAN,       43.000000,MARABOSE,      314.000000,      329.000000,      138.000000,      120.000000,       16.000000,      0.86956521739,-214748364,643,      0.84768211921,151,128,Ternate,Halmahera
MALUKU UTARA,BACAN,INDOMUT,82,04,030,038,8204030038,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204030,POLY,8204030038,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       30.000000,BACAN,       38.000000,INDOMUT,      342.000000,      303.000000,      143.000000,       54.000000,        8.000000,      0.37762237762,-214748364,641,      0.56198347107,121,68,Ternate,Halmahera
MALUKU UTARA,OBI SELATAN,LOLEO,82,04,010,001,8204010001,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204010,POLY,8204010001,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       10.000000,OBI SELATAN,        1.000000,LOLEO,      313.000000,      307.000000,      130.000000,        0.000000,       40.000000,      0.00000000000,-214748364,589,      0.00000000000,129,0,Ternate,HalmaheraSou
MALUKU UTARA,OBI SELATAN,MANO,82,04,010,002,8204010002,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204010,POLY,8204010002,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       10.000000,OBI SELATAN,        2.000000,MANO,     1177.000000,     1204.000000,      524.000000,        0.000000,       79.000000,      0.00000000000,-214748364,2355,      0.00239234450,418,1,Ternate,HalmaheraSou
MALUKU UTARA,OBI TIMUR,WOOI,82,04,022,004,8204022004,HALMAHERA SELATAN,BADAN PUSAT STATISTIK,8204022,POLY,8204022004,       82.000000,MALUKU UTARA,        4.000000,HALMAHERA SELATAN,       22.000000,OBI TIMUR,        4.000000,WOOI,      635.000000,      598.000000,      280.000000,        0.000000,       10.000000,      0.00000000000,-214748364,1236,      0.00000000000,280,0,Ternate,HalmaheraSou
