FID,KODE_UNSUR,PELAKSANA,TOPONIM,UPDATED,F_AREA,PROVINSI,KECAMATAN,DESA,PROVNO,KABKOTNO,KECNO,DESANO,IDSP2010,KABKOT,SUMBER,R401A,R401B,R401C,R501A,R501B,PLN_HHOLD,TOT_POP,PCT_PLN,NUM_HHOLDS,NUM_PLN,CLUSTAREA,CLUSTRATIO,CLUSTPOP,Sum_CLUSTA,Longitude,Latitude,X,Y
40,50102,"EKSA ANUGRAH MANDIRI, PT.",WAIBOGA,20070813,208473.0819,MALUKU UTARA,SULA BESI TENGAH,WAI BOGA,82,3,21,5,8203021005,KEPULAUAN SULA,BADAN PUSAT STATISTIK,1139,1121,515,420,95,0.815534,2234,0.834452,447,373,0.208473,0.76925,1719,0.271008,125.95619,-2.165268,828863,9760351
41,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,52495.01869,MALUKU UTARA,SULA BESI TENGAH,MANAF,82,3,21,6,8203021006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,120,116,71,30,41,0.422535,220,0.575,40,23,0.052495,0.151115,33,0.347386,126.031502,-2.332486,837211,9741825
42,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,294890.5645,MALUKU UTARA,SULA BESI TENGAH,MANAF,82,3,21,6,8203021006,KEPULAUAN SULA,BADAN PUSAT STATISTIK,120,116,71,30,41,0.422535,220,0.575,40,23,0.294891,0.848885,187,0.347386,126.018903,-2.32399,835810,9742769
43,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,42309.71426,MALUKU UTARA,SULA BESI TIMUR,WAILIA,82,3,22,1,8203022001,KEPULAUAN SULA,BADAN PUSAT STATISTIK,339,297,148,0,11,0,636,0,119,0,0.04231,1,636,0.04231,126.025577,-2.463347,836519,9727342
44,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,7002.307355,MALUKU UTARA,SULA BESI TIMUR,FATKAUYON,82,3,22,2,8203022002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,257,246,132,0,32,0,503,0,101,0,0.007002,0.041283,21,0.169619,126.063259,-2.461538,840714,9727533
45,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,44435.90512,MALUKU UTARA,SULA BESI TIMUR,FATKAUYON,82,3,22,2,8203022002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,257,246,132,0,32,0,503,0,101,0,0.044436,0.261975,132,0.169619,126.066252,-2.456809,841049,9728056
46,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,17211.08194,MALUKU UTARA,SULA BESI TIMUR,FATKAUYON,82,3,22,2,8203022002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,257,246,132,0,32,0,503,0,101,0,0.017211,0.101469,51,0.169619,126.0682,-2.453355,841267,9728438
47,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,10131.92897,MALUKU UTARA,SULA BESI TIMUR,FATKAUYON,82,3,22,2,8203022002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,257,246,132,0,32,0,503,0,101,0,0.010132,0.059733,30,0.169619,126.062116,-2.450169,840590,9728792
48,50102,"EKSA ANUGRAH MANDIRI, PT.", ,20070813,90837.86914,MALUKU UTARA,SULA BESI TIMUR,FATKAUYON,82,3,22,2,8203022002,KEPULAUAN SULA,BADAN PUSAT STATISTIK,257,246,132,0,32,0,503,0,101,0,0.090838,0.53554,269,0.169619,126.070769,-2.431369,841558,9730871
49,50102,"EKSA ANUGRAH MANDIRI, PT.",BALEHA,20070813,49156.10207,MALUKU UTARA,SULA BESI TIMUR,BALEHA,82,3,22,3,8203022003,KEPULAUAN SULA,BADAN PUSAT STATISTIK,345,333,206,0,13,0,678,0.009009,111,1,0.049156,0.685924,465,0.071664,126.059523,-2.39741,840315,9734632
